__**ACTIVITY_DATA**__
playername	Number of characters	Number of words	Number of posts
Pablo Smith	22913	4390	541
TehFriedWaffles	2932	583	115
Glacier	12637	2424	375
Superb	13040	2545	306
Zaylok	1916	396	48
Bum Soldier	14904	3105	563
Ahmaykmewsik	17177	3335	564
TheFloorIsEvil	5113	1025	159
404	6227	1219	159
Maurj	9144	1755	192
ZelRaat	15564	3063	424
True Scooby Snacks	3843	810	151
MoreGooder	13111	2665	399
KnightSpecter	3014	586	95
Dirty Spaceman	28487	5623	636
Maack	1763	327	91
SUPAHSTAR CLOD	15878	3078	403
Snowva	22333	4351	367
Aytoms	15445	3011	698
Louie25	1719	323	61
monrebentibus	8036	1577	159
Kris Pringle	248	54	10
Captain Thomas	895	174	47
deogenerate	229	50	6
